Date,Activity Type,Activity Title,Session Type,Session Title,Start Time,End Time,Jersey No.,Player Name,Position,Duration (min),Total Distance (m),Total Distance/min (m/min),Max Speed (km/h),HSR Distance (m),Sprint Distance (m),No. of HSR (times),No. of Sprint (times),No. of Exp. Acc. (times),No. of Exp. Dec. (times),Speed Zone 1 Distance (m),Speed Zone 2 Distance (m),Speed Zone 3 Distance (m),Speed Zone 4 Distance (m),Speed Zone 5 Distance (m),Speed Zone 6 Distance (m)
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,8,Paul McGowan,CAM,127,"5,718.2",44.9,19.5,0.0,0.0,0,0,4,3,"3,459.3","1,843.0",309.9,106.0,0.0,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,19,Charlie Maxwell,CAM,139,"7,956.3",57.4,23.9,41.5,0.0,5,0,8,11,"3,385.8","3,264.3",755.0,505.8,45.4,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,5,Tam Muir,CB,140,"6,944.1",49.5,22.3,28.0,0.0,5,0,14,7,"3,324.4","2,869.4",460.6,261.0,28.6,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,17,Aaron Brown,WF,139,"7,402.1",53.3,24.8,103.6,0.0,12,0,12,9,"3,338.9","2,954.4",588.4,414.1,106.4,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,23,Lucas Ross,CM,139,"6,352.9",45.8,22.6,17.7,0.0,2,0,3,3,"3,641.3","1,942.0",469.3,280.4,19.9,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,6,Rhys Breen,CB,139,"6,722.6",48.5,21.0,5.7,0.0,1,0,6,7,"3,347.7","2,524.7",596.0,243.4,10.8,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,4,Josh Dixon,CM,139,"8,018.8",57.8,22.3,22.7,0.0,4,0,6,9,"3,844.3","2,995.6",793.3,361.2,24.4,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,7,Josh Todd,CAM,139,"6,054.4",43.7,20.9,26.1,0.0,4,0,4,4,"3,275.4","2,352.7",314.2,86.0,26.1,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,16,Paul Smith,CDM,139,"6,949.4",50.1,24.7,83.1,0.0,9,0,7,8,"3,341.5","2,572.4",598.0,351.1,86.5,0.0
2025-07-10,Training,Training - 10/07/2025,Training Session,training,2025-07-10 19:00:00,2025-07-10 21:30:00,18,Kyle Flemming,CM,139,"6,373.1",46.0,27.5,40.5,6.6,3,1,9,8,"3,217.9","2,465.9",443.6,200.7,38.4,6.6
